lex,lex_arb,root,def,src,id,lex_uncorrected,pg,dialect,phon,Cv,sem,ref,pos,etym,lex_arb2,def_arb,measure,imalah
abu,ابو,ʔbw,"[a] ""a father"". mā ileh abu 1 ""he has no father""; abu mǣli 11, / abūy 16,17,29 ""my father"". [b] ""a male date-palm"". in-nabēt min ábu, min il-faḥal 9 ""the male palm-flower comes from a male date-palm, from the male"".",Brockett 1985,1,,49,,,,family,[a] W ab. [b] [33].,n,,,,,check def ē
"abu ḫuwayṭ 17,19",ابو خويط,ʔbw,"""Venereal Disease"".",Brockett 1985,2,,49,,,,,,n,,,,,
"abu ṭwayq / bu ṭwayq 25,28,29",ابو طويق/ بو طويق,ʔbw,"""Apis florea"". From the black and orange bands on the abdomen.",Brockett 1985,3,,49,,,,beekeeping,,n,,,,,
"abu rawal 1,13*,17*",ابو رول,ʔbw,"""a monitor-lizard, varan"".",Brockett 1985,4,,49,,,,fauna,[1604]; Ḥarsūsi rewōl; W waral.,n,,,,,
"ata, yēti*",اتى/ ياتي,ʔty,"""to bring"". atāh nifte 29 ""he brought him a bee-colony""; taynēh šē 29 ""we brought him a she-goat""; ygi mētinneh 30 ""he brings it"" lit. ""he comes bringing it"" act.pt.; yēti laḥam min is-sūq 30 ""he brings meat from the shops""; waytyūhe qafīr 29 ""and they bring it in a basket""; il-melike wul-ḫādim mā yētin šayy min is-sayḥ 29 ""the queen-bee and the drone bring nothing from the desert-plain"" 3rd.f.pl.",Brockett 1985,5,,49,,,,,W atā bi.,vt,,,,I,check lex ē
ata* 26 (§ 6.12),اتى,ʔty,"""slowness"", of speaking. A variant of 7.",Brockett 1985,6,,49,,,,,,n,,,,,
ati*,اتي,ʔty,"""slowness"". wāḥid kelim bil-ati huwa aḥsan ""[when] someone speaks slowly it's better"".",Brockett 1985,7,,49,,,,,"[19]; Jb 841 transliterates this bil-lati, taking it as a corruption of the verbal noun of root lʔy, stem viii ""to be slow"" (H); L 15 atw ""a (uniform) way of speaking"".",n,,,,,
"ʔaṯṯar, yʔaṯṯar",اثر/ يأثر,ʔṯr,"[a] v.i. ""to harm"". yʔaṯṯar ʕalayhe 9,25 ""it harms it""; mā yʔaṯṯar fīh 11 ""it doesn't harm it"". [b] v.t. ""to give rise to"". ferrāḫa wāḥda tʔaṯṯar mīt rās buṣal 17 ""a single flower produces a hundred onion-sets"".",Brockett 1985,8,,49,,,,,"[a] W ""to affect ..."" [b] W ""... to induce"".",v,,,,II,
"teʔeṯṯar**, yitʔaṯṯar**",تأثر/ يتأثر,ʔṯr,"=+ min 26 ""to be harmed by"".",Brockett 1985,9,,50,,,,,"W ""... to be influenced ...""",vi,,,,V,
"agīr 10,12 [1026]",اجير,ʔgr,"""pay"".",Brockett 1985,10,,50,,,,,W ajr.,n,,,,,
"stāḫar**, yistāḫar",ستاخر/ يستاخر,ʔḫr,"""to be late"". šayy yetgeddem ušayy yistāḫar 2 ""some [palms] are early [to fruit] and some are late"".",Brockett 1985,11,,50,,,,,R 193; W V.,vi,,,,X,ā > ā
aḫri,اخري,ʔḫr,"""last"". il-ʕašur il-aḫriyyēt ṣāret il-arbʕīn 1 ""the final ten [days] were [the season called] the forty"".",Brockett 1985,12,,50,,,,,W aḫīr,adj,,,,,check def ē
